"effectsize_measure","effectsize_measure_unified","specifiers","of_interest"
"β (Reactiveness)",NA,NA,"not_relevant"
"β (Proactiveness)",NA,NA,"not_relevant"
"β (Utilization of HMI)",NA,NA,"not_relevant"
"β (Responsiveness)",NA,NA,"not_relevant"
"β (Amount of parameter modifications)",NA,NA,"not_relevant"
"β (Avg num of modified parameters)",NA,NA,"not_relevant"
"β (Number of spec changes)",NA,NA,"not_relevant"
"β (Number of alarm types)",NA,NA,"not_relevant"
"β (Job rotations - afternoon)",NA,NA,"not_relevant"
"β (Job rotations - morning)",NA,NA,"not_relevant"
"β (Working seasons - spring)",NA,NA,"not_relevant"
"Pearson correlation coefficient (Cycle Time and Trouble Recurrence Time)","pearsons_r","","yes"
"Pearson correlation coefficient (Throughput and Trouble Alarm Recurrence Time)","pearsons_r","","yes"
"Pearson correlation coefficient (Throughput and Cycle Time)","pearsons_r","","yes"
"Truncation Rate",NA,NA,"not_relevant"
"Word Error Rate (WER)",NA,NA,"not_relevant"
"Improved",NA,NA,"not_relevant"
"Macro F1 Score",NA,NA,"not_relevant"
"Ratio (Care/Harm)",NA,NA,"not_relevant"
"Ratio (Fairness/Cheating)",NA,NA,"not_relevant"
"Ratio (Loyalty/Betrayal)",NA,NA,"not_relevant"
"Ratio (Authority/Subversion)",NA,NA,"not_relevant"
"Ratio (Sanctity/Degradation)",NA,NA,"not_relevant"
"Score range (C_1)",NA,NA,"not_relevant"
"Moderately high",NA,NA,"not_relevant"
"Balanced",NA,NA,"not_relevant"
"Score range (C_2)",NA,NA,"not_relevant"
"Score range (C_3)",NA,NA,"not_relevant"
"Low",NA,NA,"not_relevant"
"Score range (C_4)",NA,NA,"not_relevant"
"Score range (C_5)",NA,NA,"not_relevant"
"High",NA,NA,"not_relevant"
"Score range (C_6)",NA,NA,"not_relevant"
"Varying",NA,NA,"not_relevant"
"Mean (wrist-on)",NA,NA,"not_relevant"
"Mean (wrist-off)",NA,NA,"not_relevant"
"Mean (restricted)",NA,NA,"not_relevant"
"Mean (unrestricted)",NA,NA,"not_relevant"
"Mean (transcription)",NA,NA,"not_relevant"
"Mean (memorization)",NA,NA,"not_relevant"
"Mean (index)",NA,NA,"not_relevant"
"Mean (middle)",NA,NA,"not_relevant"
"Mean (ring)",NA,NA,"not_relevant"
"Mean (pinky)",NA,NA,"not_relevant"
"Mean (thumb)",NA,NA,"not_relevant"
"Mean (Participant 1)",NA,NA,"not_relevant"
"Mean (Participant 2)",NA,NA,"not_relevant"
"Mean (Participant 3)",NA,NA,"not_relevant"
"Mean (Participant 4)",NA,NA,"not_relevant"
"Mean (Participant 5)",NA,NA,"not_relevant"
"Mean (Participant 6)",NA,NA,"not_relevant"
"Mean (Participant 7)",NA,NA,"not_relevant"
"Mean (Participant 8)",NA,NA,"not_relevant"
"Mean (Participant 9)",NA,NA,"not_relevant"
"Mean (Participant 10)",NA,NA,"not_relevant"
"Mean (Participant 11)",NA,NA,"not_relevant"
"Mean (Participant 12)",NA,NA,"not_relevant"
"Mean (numeric row)",NA,NA,"not_relevant"
"Mean (top row)",NA,NA,"not_relevant"
"Mean (middle row)",NA,NA,"not_relevant"
"Mean (bottom row)",NA,NA,"not_relevant"
"Mean (space-bar row)",NA,NA,"not_relevant"
"Mean (column 1)",NA,NA,"not_relevant"
"Mean (column 2)",NA,NA,"not_relevant"
"Mean (column 3)",NA,NA,"not_relevant"
"Mean (column 4)",NA,NA,"not_relevant"
"Mean (column 5)",NA,NA,"not_relevant"
"Mean (column 6)",NA,NA,"not_relevant"
"Mean (column 7)",NA,NA,"not_relevant"
"Mean (column 8)",NA,NA,"not_relevant"
"Mean (column 9)",NA,NA,"not_relevant"
"Mean (non-uniform threshold)",NA,NA,"not_relevant"
"Mean (uniform-high threshold)",NA,NA,"not_relevant"
"Mean (dynamic threshold)",NA,NA,"not_relevant"
"Mean (uniform-low threshold)",NA,NA,"not_relevant"
"Mean (personalized threshold)",NA,NA,"not_relevant"
"Tukey pairwise comparison",NA,NA,"not_relevant"
"Chi-Square statistic",NA,NA,"not_relevant"
"χ²_F",NA,NA,"not_relevant"
"Number of off-screen Glances",NA,NA,"not_relevant"
"Physical Demand",NA,NA,"not_relevant"
"SUS Count",NA,NA,"not_relevant"
"SUS Mean",NA,NA,"not_relevant"
"SSQ Total Score",NA,NA,"not_relevant"
"NASA TLX (Mental Demand)",NA,NA,"not_relevant"
"NASA TLX (Temporal Demand)",NA,NA,"not_relevant"
"NASA TLX (Effort)",NA,NA,"not_relevant"
"NASA TLX (Overall Performance)",NA,NA,"not_relevant"
"NASA TLX (Other Subscores)",NA,NA,"not_relevant"
"Spearman's r","spearmans_rho","","yes"
"Readability",NA,NA,"not_relevant"
"Adequacy",NA,NA,"not_relevant"
"Readability Improvement",NA,NA,"not_relevant"
"Adequacy Improvement",NA,NA,"not_relevant"
"Readability IAA",NA,NA,"not_relevant"
"Accuracy IAA",NA,NA,"not_relevant"
"Adequacy IAA",NA,NA,"not_relevant"
"Control Score",NA,NA,"not_relevant"
"Exp. Score",NA,NA,"not_relevant"
"Score Diff.",NA,NA,"not_relevant"
"Control Duration",NA,NA,"not_relevant"
"Exp. Duration",NA,NA,"not_relevant"
"Duration Diff.",NA,NA,"not_relevant"
"Assortativity Coefficient",NA,NA,"not_relevant"
"Standardized Mean Differences (SMD)",NA,NA,"not_relevant"
"ATE and RTE",NA,NA,"not_relevant"
"Relative Treatment Effect (RTE)",NA,NA,"not_relevant"
"median (male)",NA,NA,"not_relevant"
"median (female)",NA,NA,"not_relevant"
"mean (10s)",NA,NA,"not_relevant"
"mean (20s)",NA,NA,"not_relevant"
"mean (30s)",NA,NA,"not_relevant"
"mean (40s)",NA,NA,"not_relevant"
"median (different genders)",NA,NA,"not_relevant"
"median (same gender)",NA,NA,"not_relevant"
"Mean (FB)",NA,NA,"not_relevant"
"Mean (FF)",NA,NA,"not_relevant"
"Mean (August 2022)",NA,NA,"not_relevant"
"Mean (August 2021)",NA,NA,"not_relevant"
"Mean (August 2020)",NA,NA,"not_relevant"
"Mean (August 2019)",NA,NA,"not_relevant"
"Mean (Passive phase)",NA,NA,"not_relevant"
"Mean (Active phase)",NA,NA,"not_relevant"
"Mean (Discovery phase)",NA,NA,"not_relevant"
"Mean SUS",NA,NA,"not_relevant"
"SUS score (FF)",NA,NA,"not_relevant"
"SUS score (FB)",NA,NA,"not_relevant"
"Residential Zoning Percentage",NA,NA,"not_relevant"
"Commercial Zoning Percentage",NA,NA,"not_relevant"
"Manufacturing Zoning Percentage",NA,NA,"not_relevant"
"Open Space Zoning Percentage",NA,NA,"not_relevant"
"Other Zoning Percentage",NA,NA,"not_relevant"
"Interstate Highway Miles",NA,NA,"not_relevant"
"Rail Miles",NA,NA,"not_relevant"
"Distance to TRI Sites",NA,NA,"not_relevant"
"Mouse",NA,NA,"not_relevant"
"Touchpad",NA,NA,"not_relevant"
"D×W",NA,NA,"not_relevant"
"D×Mouse",NA,NA,"not_relevant"
"D×Touchpad",NA,NA,"not_relevant"
"Nominal b",NA,NA,"not_relevant"
"Effective b",NA,NA,"not_relevant"
"\hat{b}",NA,NA,"not_relevant"
"Effective a",NA,NA,"not_relevant"
"\hat{a} Effective",NA,NA,"not_relevant"
"Nominal a",NA,NA,"not_relevant"
"\hat{a} Nominal",NA,NA,"not_relevant"
"Device (Mouse)",NA,NA,"not_relevant"
"Device (Touchpad)",NA,NA,"not_relevant"
"D×Device (Mouse)",NA,NA,"not_relevant"
"D×Device (Touchpad)",NA,NA,"not_relevant"
"IDe/ID",NA,NA,"not_relevant"
"Device (Mouse/Controller)",NA,NA,"not_relevant"
"Device (Touchpad/Controller)",NA,NA,"not_relevant"
"IDe/ID × Device (Mouse/Controller)",NA,NA,"not_relevant"
"IDe/ID × Device (Touchpad/Controller)",NA,NA,"not_relevant"
"Intercept for Model 1",NA,NA,"not_relevant"
"Intercept for Model 2",NA,NA,"not_relevant"
"Intercept for Model 3",NA,NA,"not_relevant"
"Age for Model 1",NA,NA,"not_relevant"
"Age for Model 2",NA,NA,"not_relevant"
"Age for Model 3",NA,NA,"not_relevant"
"Gender (Female) for Model 1",NA,NA,"not_relevant"
"Gender (Female) for Model 2",NA,NA,"not_relevant"
"Gender (Female) for Model 3",NA,NA,"not_relevant"
"Role (Operator, Executive) for Model 1",NA,NA,"not_relevant"
"Role (Others) for Model 1",NA,NA,"not_relevant"
"Role (Operator, Executive) for Model 2",NA,NA,"not_relevant"
"Role (Operator, Executive) for Model 3",NA,NA,"not_relevant"
"Expected Frequency of Remote Work for Model 1",NA,NA,"not_relevant"
"Expected Frequency of Remote Work for Model 2",NA,NA,"not_relevant"
"Expected Frequency of Remote Work for Model 3",NA,NA,"not_relevant"
"Strength of INs for Model 1",NA,NA,"not_relevant"
"Strength of INs for Model 2",NA,NA,"not_relevant"
"Strength of INs for Model 3",NA,NA,"not_relevant"
"Willingness to Conform to INs for Model 1",NA,NA,"not_relevant"
"Willingness to Conform to INs for Model 2",NA,NA,"not_relevant"
"Willingness to Conform to INs for Model 3",NA,NA,"not_relevant"
"Strength of DNs for Model 1",NA,NA,"not_relevant"
"Strength of DNs for Model 2",NA,NA,"not_relevant"
"Strength of DNs for Model 3",NA,NA,"not_relevant"
"Willingness to Conform to DNs for Model 1",NA,NA,"not_relevant"
"Willingness to Conform to DNs for Model 2",NA,NA,"not_relevant"
"Willingness to Conform to DNs for Model 3",NA,NA,"not_relevant"
"Rate Difference",NA,NA,"not_relevant"
"Accuracy Rate",NA,NA,"not_relevant"
"rank-biserial correlation","rank_biserial_r","","yes"
"Mean (Slide Gestalt)",NA,NA,"not_relevant"
"Mean (Build Slides)",NA,NA,"not_relevant"
"Mean (Topic Split Slides)",NA,NA,"not_relevant"
"Mean (Divider)",NA,NA,"not_relevant"
"RMSE (cogC)",NA,NA,"not_relevant"
"RMSE (emoC)",NA,NA,"not_relevant"
"RMSE (phyC)",NA,NA,"not_relevant"
"RMSE (DM)",NA,NA,"not_relevant"
"RMSE (Avg)",NA,NA,"not_relevant"
"MAE (cogC)",NA,NA,"not_relevant"
"MAE (emoC)",NA,NA,"not_relevant"
"MAE (phyC)",NA,NA,"not_relevant"
"MAE (DM)",NA,NA,"not_relevant"
"MAE (Avg)",NA,NA,"not_relevant"
"Acc2 −c (cogC)",NA,NA,"not_relevant"
"Acc2 −c (emoC)",NA,NA,"not_relevant"
"Acc2 −c (phyC)",NA,NA,"not_relevant"
"Acc2 −c (DM)",NA,NA,"not_relevant"
"Acc2 −c (noC)",NA,NA,"not_relevant"
"Acc2 −c (Avg)",NA,NA,"not_relevant"
"F12 −c (Avg)",NA,NA,"not_relevant"
"RMSE (A)",NA,NA,"not_relevant"
"MAE (A)",NA,NA,"not_relevant"
"Acc2 −c (A)",NA,NA,"not_relevant"
"F12 −c (A)",NA,NA,"not_relevant"
"RMSE (B)",NA,NA,"not_relevant"
"MAE (B)",NA,NA,"not_relevant"
"Acc2 −c (B)",NA,NA,"not_relevant"
"F12 −c (B)",NA,NA,"not_relevant"
"RMSE (C)",NA,NA,"not_relevant"
"MAE (C)",NA,NA,"not_relevant"
"Acc2 −c (C)",NA,NA,"not_relevant"
"F12 −c (C)",NA,NA,"not_relevant"
"η_g^2","eta_squared","generalized","yes"
"Md",NA,NA,"not_relevant"
"Mean Opinion Difference",NA,NA,"not_relevant"
"Effect Size (d)","cohens_d","","yes"
"Percentage of Intended Opinion",NA,NA,"not_relevant"
"MT",NA,NA,"not_relevant"
"v_peak",NA,NA,"not_relevant"
"PTPV",NA,NA,"not_relevant"
"PTPSE",NA,NA,"not_relevant"
"SPARC",NA,NA,"not_relevant"
"Rank-biserial correlation","rank_biserial_r","","yes"
"Unstandardized Path Coefficient (B)",NA,NA,"not_relevant"
"Median ($\bar{\mu }$)",NA,NA,"not_relevant"
"Cumulative Odds Difference",NA,NA,"not_relevant"
"Total Effect of Consent Method on Study Response Quality",NA,NA,"not_relevant"
"Indirect Path via Participant-Researcher Power Relation",NA,NA,"not_relevant"
"Path via Consent Form Reading",NA,NA,"not_relevant"
"Mean diff.",NA,NA,"not_relevant"
"KLD",NA,NA,"not_relevant"
"MMD",NA,NA,"not_relevant"
"Mean percentage (SD)",NA,NA,"not_relevant"
"Median seconds (SD)",NA,NA,"not_relevant"
"Odds Ratios","odds_ratio","","yes"
"Unstandardized Coefficient",NA,NA,"not_relevant"
"R² of Intensity resp. Fear","r_squared","","yes"
"R² of Agency","r_squared","","yes"
"R² of Presence","r_squared","","yes"
"BIC",NA,NA,"not_relevant"
"Growth Success",NA,NA,"not_relevant"
"Dimensional Accuracy",NA,NA,"not_relevant"
"Mean Selection Time",NA,NA,"not_relevant"
"Rank-Biserial Correlation","rank_biserial_r","","yes"
"LDT",NA,NA,"not_relevant"
"UDT",NA,NA,"not_relevant"
"DT area",NA,NA,"not_relevant"
"AUPRC",NA,NA,"not_relevant"
"Balanced Accuracy",NA,NA,"not_relevant"
"Notification Provision (β)",NA,NA,"not_relevant"
"Explanation Provision (β)",NA,NA,"not_relevant"
"Explanation Provision on Outcome Fairness (β)",NA,NA,"not_relevant"
"Explanation Provision on Retributive Justice (β)",NA,NA,"not_relevant"
"Explanation Provision on Procedural Justice (β)",NA,NA,"not_relevant"
"Explanation Provision on Restorative Justice (β)",NA,NA,"not_relevant"
"Explanation Provision on Problem Coping (β)",NA,NA,"not_relevant"
"Perceived Transparency on Problem Coping (β)",NA,NA,"not_relevant"
"Perceived Retributive Justice on Problem Coping (β)",NA,NA,"not_relevant"
"Perceived Retributive Justice on Positivity (β)",NA,NA,"not_relevant"
"Perceived Procedural Justice on Detachment (β)",NA,NA,"not_relevant"
"Perceived Procedural Justice on Positivity (β)",NA,NA,"not_relevant"
"Perceived Procedural Justice on Social Support (β)",NA,NA,"not_relevant"
"Perceived Restorative Justice on Problem Coping (β)",NA,NA,"not_relevant"
"Perceived Restorative Justice on Social Support (β)",NA,NA,"not_relevant"
"Perceived Restorative Justice on Detachment (β)",NA,NA,"not_relevant"
"Perceived Restorative Justice on Positivity (β)",NA,NA,"not_relevant"
"Cosine Similarity",NA,NA,"not_relevant"
"Mean (with comparison)",NA,NA,"not_relevant"
"SD (with comparison)",NA,NA,"not_relevant"
"Mean (no comparison)",NA,NA,"not_relevant"
"SD (no comparison)",NA,NA,"not_relevant"
"Mean (declarative)",NA,NA,"not_relevant"
"SD (declarative)",NA,NA,"not_relevant"
"Mean (procedural)",NA,NA,"not_relevant"
"SD (procedural)",NA,NA,"not_relevant"
"t-value (locus of control)",NA,NA,"not_relevant"
"t-value (spatial ability)",NA,NA,"not_relevant"
"Mean (functional vision)",NA,NA,"not_relevant"
"SD (functional vision)",NA,NA,"not_relevant"
"Mean (without functional vision)",NA,NA,"not_relevant"
"SD (without functional vision)",NA,NA,"not_relevant"
"r^2 (age)","r_squared","","yes"
"t-value (gender)",NA,NA,"not_relevant"
"Correlation between Decision-making and Emotional Factors","uncertain","","yes"
"Correlation between Decision-making and Cognitive Factors","uncertain","","yes"
"Degrees of Freedom (df)",NA,NA,"not_relevant"
"Success Rate Increase (Ambiguity)",NA,NA,"not_relevant"
"Success Rate Increase (Transparency)",NA,NA,"not_relevant"
"Success Rate Increase (Controllability)",NA,NA,"not_relevant"
"Perceived Error Rate Decrease (Ambiguity)",NA,NA,"not_relevant"
"Perceived Error Rate",NA,NA,"not_relevant"
"Perceived Error Rate Increase (Transparency)",NA,NA,"not_relevant"
"Perceived Error Rate Decrease (Controllability)",NA,NA,"not_relevant"
"Breakpoints",NA,NA,"not_relevant"
"Break Point",NA,NA,"not_relevant"
"Comprehension",NA,NA,"not_relevant"
"Extraneous Load",NA,NA,"not_relevant"
"CR",NA,NA,"not_relevant"
"AVE",NA,NA,"not_relevant"
"Mean (SD), Median",NA,NA,"not_relevant"
"Proportion Identified (ESCAPE)",NA,NA,"not_relevant"
"Proportion Identified (Baseline)",NA,NA,"not_relevant"
"U-value",NA,NA,"not_relevant"
"W-value",NA,NA,"not_relevant"
"beta",NA,NA,"not_relevant"
"Mean (DAPIE)",NA,NA,"not_relevant"
"Mean (Baseline)",NA,NA,"not_relevant"
"Mean Gaze Distraction (DAPIE)",NA,NA,"not_relevant"
"Mean Gaze Distraction (Baseline)",NA,NA,"not_relevant"
"Mean Verbal Comments (DAPIE)",NA,NA,"not_relevant"
"Mean Verbal Comments (Baseline)",NA,NA,"not_relevant"
"Mean Non-Verbal Comments (DAPIE)",NA,NA,"not_relevant"
"Mean Non-Verbal Comments (Baseline)",NA,NA,"not_relevant"
"Mean Interaction Time (DAPIE)",NA,NA,"not_relevant"
"Mean Interaction Time (Baseline)",NA,NA,"not_relevant"
"Mean Enjoyment (DAPIE)",NA,NA,"not_relevant"
"Mean Enjoyment (Baseline)",NA,NA,"not_relevant"
"Mean Trustworthiness (DAPIE)",NA,NA,"not_relevant"
"Mean Trustworthiness (Baseline)",NA,NA,"not_relevant"
"Mean (AO)",NA,NA,"not_relevant"
"Mean (MR)",NA,NA,"not_relevant"
"Mean (PT)",NA,NA,"not_relevant"
"Mean (PFJ)",NA,NA,"not_relevant"
"Pearson's r (MR)","pearsons_r","","yes"
"Pearson's r (AO)","pearsons_r","","yes"
"Stress (SS)",NA,NA,"not_relevant"
"Perceptual Distance (D)",NA,NA,"not_relevant"
"Mean Number of Features Changed",NA,NA,"not_relevant"
"Number of Failures",NA,NA,"not_relevant"
"Confusion Rate",NA,NA,"not_relevant"
"Timeout Rate",NA,NA,"not_relevant"
"Median Recognition Time",NA,NA,"not_relevant"
"Reach Duration",NA,NA,"not_relevant"
"Reach Accuracy",NA,NA,"not_relevant"
"RMSD",NA,NA,"not_relevant"
"Endpoint Error",NA,NA,"not_relevant"
"Focal Offset Effects",NA,NA,"not_relevant"
"Rate Ratio",NA,NA,"not_relevant"
"Probability of Superiority (descriptiveness, excluding instructional video)","cles","","yes"
"Probability of Superiority (descriptiveness, including instructional video)","cles","","yes"
"Probability of Superiority (objectiveness, automatic-feedback)","cles","","yes"
"Probability of Superiority (descriptiveness)","cles","","yes"
"Probability of Superiority (sufficiency)","cles","","yes"
"Probability of Superiority (Descriptive)","cles","","yes"
"Probability of Superiority (Sufficient)","cles","","yes"
"Probability of Superiority (Clarity)","cles","","yes"
"Probability of Superiority (Objective)","cles","","yes"
"Probability of Superiority (Succinct)","cles","","yes"
"Probability of Superiority (Referable)","cles","","yes"
"Probability of Superiority (Learning)","cles","","yes"
"Probability of Superiority (Interest)","cles","","yes"
"βA",NA,NA,"not_relevant"
"partial eta^2","eta_squared","partial","yes"
"ΔPOS",NA,NA,"not_relevant"
"ΔTwin",NA,NA,"not_relevant"
"ΔACC",NA,NA,"not_relevant"
"ΔFPR",NA,NA,"not_relevant"
"ΔFNR",NA,NA,"not_relevant"
"ΔREL-POS",NA,NA,"not_relevant"
"ΔREL-NEG",NA,NA,"not_relevant"
"Mean Difference (MD)",NA,NA,"not_relevant"
"KMO value",NA,NA,"not_relevant"
"β (beta)",NA,NA,"not_relevant"
"χ² (Chi-squared)",NA,NA,"not_relevant"
"N/A",NA,NA,"not_relevant"
"z-value",NA,NA,"not_relevant"
"Unknown",NA,NA,"not_relevant"
"β (Deliberative: Fact-related arguments)",NA,NA,"not_relevant"
"β (Deliberative: Structured arguments)",NA,NA,"not_relevant"
"β (Deliberative: Unsupported statements)",NA,NA,"not_relevant"
"β (Civic: Collective rhetoric)",NA,NA,"not_relevant"
"β (Civic: Situational action)",NA,NA,"not_relevant"
"β (Civic: We vs. Them)",NA,NA,"not_relevant"
"β (Demagogic: We vs. Them)",NA,NA,"not_relevant"
"β (Demagogic: Emotional comments)",NA,NA,"not_relevant"
"β (Demagogic: Unsupported arguments)",NA,NA,"not_relevant"
"β (Demagogic: Who instead of what rhetoric)",NA,NA,"not_relevant"
"β (Demagogic & Civic)",NA,NA,"not_relevant"
"β (Civic & Deliberative)",NA,NA,"not_relevant"
"β (Demagogic & Deliberative)",NA,NA,"not_relevant"
"Change in Civic Discourse (Upvotes only)",NA,NA,"not_relevant"
"Change in Deliberative Discourse (Upvotes only)",NA,NA,"not_relevant"
"Change in Demagogic Discourse (Upvotes only)",NA,NA,"not_relevant"
"Change in Civic Discourse (No voting)",NA,NA,"not_relevant"
"Change in Deliberative Discourse (No voting)",NA,NA,"not_relevant"
"Change in Demagogic Discourse (No voting)",NA,NA,"not_relevant"
"Change in Civic Discourse (Immediate no voting)",NA,NA,"not_relevant"
"Change in Deliberative Discourse (Immediate no voting)",NA,NA,"not_relevant"
"Change in Demagogic Discourse (Immediate no voting)",NA,NA,"not_relevant"
"Grammar Correctness (LLM)",NA,NA,"not_relevant"
"Grammar Correctness (Template)",NA,NA,"not_relevant"
"Relevance (LLM)",NA,NA,"not_relevant"
"Relevance (Template)",NA,NA,"not_relevant"
"Coverage F1 (LLM)",NA,NA,"not_relevant"
"Coverage F1 (Template)",NA,NA,"not_relevant"
"BLEU-1 (0-shot LLM)",NA,NA,"not_relevant"
"BLEU-2 (0-shot LLM)",NA,NA,"not_relevant"
"BLEU-3 (0-shot LLM)",NA,NA,"not_relevant"
"BLEU-4 (0-shot LLM)",NA,NA,"not_relevant"
"CIDEr (0-shot LLM)",NA,NA,"not_relevant"
"ROUGE-L (0-shot LLM)",NA,NA,"not_relevant"
"METEOR (0-shot LLM)",NA,NA,"not_relevant"
"BLEU-1 (1-shot LLM)",NA,NA,"not_relevant"
"BLEU-2 (1-shot LLM)",NA,NA,"not_relevant"
"BLEU-3 (1-shot LLM)",NA,NA,"not_relevant"
"BLEU-4 (1-shot LLM)",NA,NA,"not_relevant"
"CIDEr (1-shot LLM)",NA,NA,"not_relevant"
"ROUGE-L (1-shot LLM)",NA,NA,"not_relevant"
"METEOR (1-shot LLM)",NA,NA,"not_relevant"
"BLEU-1 (2-shot LLM)",NA,NA,"not_relevant"
"BLEU-2 (2-shot LLM)",NA,NA,"not_relevant"
"BLEU-3 (2-shot LLM)",NA,NA,"not_relevant"
"BLEU-4 (2-shot LLM)",NA,NA,"not_relevant"
"CIDEr (2-shot LLM)",NA,NA,"not_relevant"
"ROUGE-L (2-shot LLM)",NA,NA,"not_relevant"
"METEOR (2-shot LLM)",NA,NA,"not_relevant"
"BLEU-1 (Screen2Words)",NA,NA,"not_relevant"
"BLEU-2 (Screen2Words)",NA,NA,"not_relevant"
"BLEU-3 (Screen2Words)",NA,NA,"not_relevant"
"BLEU-4 (Screen2Words)",NA,NA,"not_relevant"
"CIDEr (Screen2Words)",NA,NA,"not_relevant"
"ROUGE-L (Screen2Words)",NA,NA,"not_relevant"
"METEOR (Screen2Words)",NA,NA,"not_relevant"
"Exact Matches (0-shot LLM)",NA,NA,"not_relevant"
"Contains GT (0-shot LLM)",NA,NA,"not_relevant"
"Sub-String of GT (0-shot LLM)",NA,NA,"not_relevant"
"Micro-F1 (0-shot LLM)",NA,NA,"not_relevant"
"Exact Matches (1-shot LLM)",NA,NA,"not_relevant"
"Contains GT (1-shot LLM)",NA,NA,"not_relevant"
"Sub-String of GT (1-shot LLM)",NA,NA,"not_relevant"
"Micro-F1 (1-shot LLM)",NA,NA,"not_relevant"
"Exact Matches (2-shot LLM)",NA,NA,"not_relevant"
"Contains GT (2-shot LLM)",NA,NA,"not_relevant"
"Sub-String of GT (2-shot LLM)",NA,NA,"not_relevant"
"Micro-F1 (2-shot LLM)",NA,NA,"not_relevant"
"Exact Matches (DistilBERT)",NA,NA,"not_relevant"
"Contains GT (DistilBERT)",NA,NA,"not_relevant"
"Sub-String of GT (DistilBERT)",NA,NA,"not_relevant"
"Micro-F1 (DistilBERT)",NA,NA,"not_relevant"
"Partial (0-shot LLM)",NA,NA,"not_relevant"
"Complete (0-shot LLM)",NA,NA,"not_relevant"
"Partial (1-shot LLM, cross-app)",NA,NA,"not_relevant"
"Complete (1-shot LLM, cross-app)",NA,NA,"not_relevant"
"Partial (2-shot LLM, cross-app)",NA,NA,"not_relevant"
"Complete (2-shot LLM, cross-app)",NA,NA,"not_relevant"
"Partial (1-shot LLM, in-app)",NA,NA,"not_relevant"
"Complete (1-shot LLM, in-app)",NA,NA,"not_relevant"
"Partial (2-shot LLM, in-app)",NA,NA,"not_relevant"
"Complete (2-shot LLM, in-app)",NA,NA,"not_relevant"
"Partial (Seq2Act)",NA,NA,"not_relevant"
"Complete (Seq2Act)",NA,NA,"not_relevant"
"Mean (full autonomy)",NA,NA,"not_relevant"
"Mean (partial autonomy)",NA,NA,"not_relevant"
"Mean (partially automated car)",NA,NA,"not_relevant"
"Mean (partially automated cane)",NA,NA,"not_relevant"
"Mean (fully automated guiding cane)",NA,NA,"not_relevant"
"Mean (car)",NA,NA,"not_relevant"
"Mean (cane)",NA,NA,"not_relevant"
"Mean (car-form robot)",NA,NA,"not_relevant"
"Mean (cane-form robot)",NA,NA,"not_relevant"
"Mean (full autonomy car form robot)",NA,NA,"not_relevant"
"Mean (full autonomy cane robot)",NA,NA,"not_relevant"
"Mean (fully automated robotic car)",NA,NA,"not_relevant"
"Mean (partially automated robotic cane)",NA,NA,"not_relevant"
"Mean (partial autonomy guiding car)",NA,NA,"not_relevant"
"Mean (partial autonomy cane)",NA,NA,"not_relevant"
"Mean (fully automated cane)",NA,NA,"not_relevant"
"Mean (full autonomy guiding robots)",NA,NA,"not_relevant"
"Mean (partial autonomy guiding robots)",NA,NA,"not_relevant"
"Mean (car form)",NA,NA,"not_relevant"
"Mean (cane form)",NA,NA,"not_relevant"
"Mean (full autonomy car)",NA,NA,"not_relevant"
"Mean (partial autonomy car)",NA,NA,"not_relevant"
"Mean (full autonomy cane)",NA,NA,"not_relevant"
"Mean (Partial Autonomy Cane)",NA,NA,"not_relevant"
"Mean (Partial Autonomy Car)",NA,NA,"not_relevant"
"Mean (Full Autonomy Cane)",NA,NA,"not_relevant"
"Mean (Full Autonomy Car)",NA,NA,"not_relevant"
"r (Reading Performance)","pearsons_r","","yes"
"r (Reading Speed)","pearsons_r","","yes"
"r (Reading Speed, Max Motion Sickness)","pearsons_r","","yes"
"r (Reading Performance, SSQ)","pearsons_r","","yes"
"r (Reading Speed, SSQ)","pearsons_r","","yes"
"r (Spatial Presence, Average Motion Sickness)","pearsons_r","","yes"
"r (Spatial Presence, Max Motion Sickness)","pearsons_r","","yes"
"r (Spatial Presence, SSQ)","pearsons_r","","yes"
"r (Spatial Presence, Oculomotor)","pearsons_r","","yes"
"r (Spatial Presence, Disorientation)","pearsons_r","","yes"
"r (IPQ Total, Average Motion Sickness)","pearsons_r","","yes"
"r (IPQ Total, Max Motion Sickness)","pearsons_r","","yes"
"r (Involvement, Average Motion Sickness)","pearsons_r","","yes"
"r (Realism)","pearsons_r","","yes"
"Comparative Fit Index (CFI)",NA,NA,"not_relevant"
"Tucker-Lewis Index (TLI)",NA,NA,"not_relevant"
"β for Emotional Resonance",NA,NA,"not_relevant"
"β for Expression Length",NA,NA,"not_relevant"
"β for Perceived Autonomy",NA,NA,"not_relevant"
"β for Perceived Competence",NA,NA,"not_relevant"
"β for Perceived Usefulness",NA,NA,"not_relevant"
"β for Total Negative Effect on Perceived Usefulness",NA,NA,"not_relevant"
"β for Total Effect on Perceived Ease of Use",NA,NA,"not_relevant"
"β for Total Effect of Music Rating on Perceived Ease of Use",NA,NA,"not_relevant"
"β for Indirect Effect through Perceived Autonomy",NA,NA,"not_relevant"
"Mean (SD) for High PG * None",NA,NA,"not_relevant"
"Mean (SD) for High PG * MC",NA,NA,"not_relevant"
"Mean (SD) for Low PG * None",NA,NA,"not_relevant"
"Mean (SD) for Low PG * MC",NA,NA,"not_relevant"
"τk","kendalls_tau","","yes"
"Cumulative Reward",NA,NA,"not_relevant"
"Hindsight Satisfaction",NA,NA,"not_relevant"
"Preference Towards Autonomy",NA,NA,"not_relevant"
